loc_ID	query_ID	symbol	name	Gene_expression	ensembl_gene_id	name.1	H3K27ac	correlation_pearson	corr.sig.pearson	name.ident
chr1.75014788.75015188	closest_left1	Ihh	CDm2	3.01123183265174	ENSMUSG00000006538	CDm2_K27	1650.37598354273	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	CDm6	1.81256354608723	ENSMUSG00000006538	CDm6_K27	1381.75223455244	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	CDm9	1.97699834224467	ENSMUSG00000006538	CDm9_K27	1088.23155306189	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	HFDm3	0.59615041941487	ENSMUSG00000006538	HFDm3_K27	507.223234581353	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	HFDm4	0.409833640442071	ENSMUSG00000006538	HFDm4_K27	540.354211502092	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	HFDm6	0.474068832635334	ENSMUSG00000006538	HFDm6_K27	711.352539851909	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DPN2	0.57593381200044	ENSMUSG00000006538	DPN2_K27	889.141361127234	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DPN3	0.819439246527143	ENSMUSG00000006538	DPN3_K27	669.358266043349	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DPN6	1.07311390076744	ENSMUSG00000006538	DPN6_K27	1146.16933833281	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DIP3	0.796788710534063	ENSMUSG00000006538	DIP3_K27	624.219725343321	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DIP6	0.149476169628731	ENSMUSG00000006538	DIP6_K27	576.916550717752	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	DIP10	0.761588045820941	ENSMUSG00000006538	DIP10_K27	1121.93941527158	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	E2_2	0.66626409657915	ENSMUSG00000006538	E2_2_K27	514.302137379177	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	E2_8	1.68079823267818	ENSMUSG00000006538	E2_8_K27	1091.18105023111	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	E2_9	1.33036413116607	ENSMUSG00000006538	E2_9_K27	781.589231437256	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	PPT1	0.958386494703979	ENSMUSG00000006538	PPT1_K27	903.533392287285	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	PPT2	1.78735617974514	ENSMUSG00000006538	PPT2_K27	835.858322014419	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr1.75014788.75015188	closest_left1	Ihh	PPT3	2.08046971806981	ENSMUSG00000006538	PPT3_K27	513.027227087838	0.66303792124636	0.00270690572076823	chr1.75014788.75015188:Ihh
chr10.3978685.3979085	closest_left1	Mthfd1l	CDm2	0.281043274973618	ENSMUSG00000040675	CDm2_K27	534.628839739194	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	CDm6	0.0553645866313304	ENSMUSG00000040675	CDm6_K27	474.977330627402	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	CDm9	0.153816535206528	ENSMUSG00000040675	CDm9_K27	593.580847124666	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	HFDm3	0.787904985854013	ENSMUSG00000040675	HFDm3_K27	723.262760421559	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	HFDm4	1.04215104023664	ENSMUSG00000040675	HFDm4_K27	987.543903779685	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	HFDm6	1.27817278458932	ENSMUSG00000040675	HFDm6_K27	1164.03142884858	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DPN2	0.124994690012034	ENSMUSG00000040675	DPN2_K27	284.031268137866	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DPN3	0.0194195919870523	ENSMUSG00000040675	DPN3_K27	223.11942201445	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DPN6	0.0996633404289938	ENSMUSG00000040675	DPN6_K27	589.458516856876	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DIP3	0.373364557196038	ENSMUSG00000040675	DIP3_K27	522.994905017377	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DIP6	0.164366490201893	ENSMUSG00000040675	DIP6_K27	509.044015339193	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	DIP10	0.167490984525798	ENSMUSG00000040675	DIP10_K27	373.979805090525	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	E2_2	0.152632316149812	ENSMUSG00000040675	E2_2_K27	347.910269403561	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
chr10.3978685.3979085	closest_left1	Mthfd1l	E2_8	0.216589896274087	ENSMUSG00000040675	E2_8_K27	514.939372019175	0.84144799422612	1.20568158688921e-05	chr10.3978685.3979085:Mthfd1l
