file_name	condition	well	replicate	n_nuclei	LD_total	LD_per_cell	Cyt_area	LD_per_um2	LD_intensity	LD_int_per_um2
nt1.lsm	siNT	1	1	48	267	5.5625	18710.90384	0.01427	8.88382	0.00047
nt1_rep2.lsm	siNT	2	2	33	254	7.69697	11473.39687	0.02214	8.82538	0.00077
nt2.lsm	siNT	1	1	33	75	2.27273	8898.40069	0.00843	6.49497	0.00073
nt2_rep2.lsm	siNT	2	2	14	131	9.35714	7006.24	0.0187	10.72068	0.00153
nt3.lsm	siNT	1	1	22	150	6.81818	8803.96337	0.01704	10.44645	0.00119
nt3_rep2.lsm	siNT	2	2	26	466	17.92308	12696.09613	0.0367	12.23878	0.00096
nt4.lsm	siNT	1	1	38	423	11.13158	15928.99219	0.02656	12.62903	0.00079
nt4_rep2.lsm	siNT	2	2	21	345	16.42857	8831.19321	0.03907	13.35455	0.00151
nt5.lsm	siNT	1	1	29	73	2.51724	8918.09747	0.00819	5.80869	0.00065
nt5_rep2.lsm	siNT	2	2	29	442	15.24138	14075.76138	0.0314	10.65855	0.00076
siTead1.lsm	siTead1	1	1	33	235	7.12121	13146.74936	0.01788	8.81474	0.00067
siTead1_2.lsm	siTead1	1	1	46	310	6.73913	13032.93442	0.02379	9.83035	0.00075
siTead1_2_rep2.lsm	siTead1	2	2	20	93	4.65	6769.75831	0.01374	6.20618	0.00092
siTead1_3.lsm	siTead1	1	1	14	246	17.57143	8505.73582	0.02892	13.22973	0.00156
siTead1_3_rep2.lsm	siTead1	2	2	26	105	4.03846	8766.03309	0.01198	5.86405	0.00067
siTead1_4.lsm	siTead1	1	1	36	253	7.02778	13715.22796	0.01845	10.41252	0.00076
siTead1_4_rep2.lsm	siTead1	2	2	34	339	9.97059	13236.63433	0.02561	9.59039	0.00072
siTead1_5.lsm	siTead1	1	1	36	307	8.52778	14931.05051	0.02056	11.29501	0.00076
siTead1_5_rep2.lsm	siTead1	2	2	32	163	5.09375	13269.51848	0.01228	7.86201	0.00059
