ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006631	fatty acid metabolic process	15/100	364/11520	5.1573420487921e-07	0.00118412573440267	0.00105535504661598	Ankrd23/Peds1/Fabp5/Fabp2/Cd36/Cyp2a5/Cyp2a22/Acaa1b/Acaa1a/Avpr1a/Aldh3a2/Ppara/Lpin2/Cyp2c38/Abcd1	15
GO:0009410	response to xenobiotic stimulus	10/100	219/11520	1.95373455537572e-05	0.015814537646239	0.0140947465543227	Serpine1/Cyp2a5/Cyp2a22/Acaa1b/Acaa1a/Traf3ip2/Wnk4/Inhba/Aldh1a1/Cyp2c38	10
GO:0035634	response to stilbenoid	4/100	21/11520	2.85623984765284e-05	0.015814537646239	0.0140947465543227	Hsd3b5/Cd36/Slco1a1/Cyp2a5	4
GO:0001973	G protein-coupled adenosine receptor signaling pathway	3/100	8/11520	3.44393241425065e-05	0.015814537646239	0.0140947465543227	Adora1/P2ry1/Acpp	3
GO:0035588	G protein-coupled purinergic receptor signaling pathway	3/100	8/11520	3.44393241425065e-05	0.015814537646239	0.0140947465543227	Adora1/P2ry1/Acpp	3
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	3/100	10/11520	7.28709772271752e-05	0.0263947671887212	0.0235244028126142	Fabp5/Avpr1a/Abcd1	3
GO:0032941	secretion by tissue	4/100	27/11520	8.04718511851256e-05	0.0263947671887212	0.0235244028126142	Adora1/Traf3ip2/Wnk4/Aqp4	4
GO:0035590	purinergic nucleotide receptor signaling pathway	3/100	11/11520	9.95662508644025e-05	0.0285755139980835	0.0254679989053156	Adora1/P2ry1/Acpp	3
GO:0071466	cellular response to xenobiotic stimulus	7/100	129/11520	0.000126566712443548	0.0322885746411541	0.028777273566112	Serpine1/Cyp2a5/Cyp2a22/Acaa1b/Acaa1a/Wnk4/Cyp2c38	7
GO:0033559	unsaturated fatty acid metabolic process	6/100	94/11520	0.000161716824670793	0.037130182944414	0.0330923691747391	Fabp5/Cyp2a5/Cyp2a22/Avpr1a/Cyp2c38/Abcd1	6
GO:0010124	phenylacetate catabolic process	2/100	3/11520	0.000222545459707729	0.0464513068626314	0.0413998443705096	Acaa1b/Acaa1a	2
GO:0015849	organic acid transport	8/100	197/11520	0.000307819065306867	0.055560542778343	0.0495184738497611	Adora1/Fabp5/Fabp2/Cd36/Slc5a6/Slco1a1/Avpr1a/Abcd1	8
GO:0015909	long-chain fatty acid transport	4/100	38/11520	0.000314584954755427	0.055560542778343	0.0495184738497611	Fabp5/Fabp2/Cd36/Abcd1	4
GO:0010951	negative regulation of endopeptidase activity	6/100	114/11520	0.000460815845205002	0.0755737986136204	0.0673553385773327	Serpinb8/Serpine1/Serpina6/Serpina9/Serpina3k/Serpinb1a	6
GO:0007600	sensory perception	8/100	212/11520	0.000502943646046497	0.0769839074215171	0.0686121016080273	Adora1/Fam107b/Fabp5/P2ry1/Cd36/Acpp/Sema5b/Aqp4	8
GO:0051930	regulation of sensory perception of pain	3/100	21/11520	0.000753500275955013	0.0961131463107061	0.0856610840033068	Adora1/Fabp5/Acpp	3
GO:0051931	regulation of sensory perception	3/100	21/11520	0.000753500275955013	0.0961131463107061	0.0856610840033068	Adora1/Fabp5/Acpp	3
GO:0150104	transport across blood-brain barrier	3/100	21/11520	0.000753500275955013	0.0961131463107061	0.0856610840033068	Fabp5/Cd36/Slc5a6	3
GO:0010232	vascular transport	3/100	22/11520	0.000866998589478977	0.104769934812828	0.0933764685843286	Fabp5/Cd36/Slc5a6	3
GO:0001676	long-chain fatty acid metabolic process	5/100	90/11520	0.00109327394106188	0.110369729347448	0.0983672995834579	Cd36/Cyp2a5/Cyp2a22/Cyp2c38/Abcd1	5
GO:1990379	lipid transport across blood-brain barrier	2/100	6/11520	0.00109392368811233	0.110369729347448	0.0983672995834579	Fabp5/Cd36	2
GO:0015908	fatty acid transport	4/100	54/11520	0.00121213470110251	0.110369729347448	0.0983672995834579	Fabp5/Fabp2/Cd36/Abcd1	4
GO:0007589	body fluid secretion	4/100	55/11520	0.00129858220733468	0.110369729347448	0.0983672995834579	Adora1/Traf3ip2/Wnk4/Aqp4	4
GO:0006690	icosanoid metabolic process	5/100	94/11520	0.00132873485218496	0.110369729347448	0.0983672995834579	Fabp5/Cyp2a5/Cyp2a22/Avpr1a/Cyp2c38	5
GO:0006805	xenobiotic metabolic process	5/100	94/11520	0.00132873485218496	0.110369729347448	0.0983672995834579	Cyp2a5/Cyp2a22/Acaa1b/Acaa1a/Cyp2c38	5
GO:0006954	inflammatory response	11/100	437/11520	0.0013979936639958	0.110369729347448	0.0983672995834579	Adora1/Tlr5/Tlr12/Crlf2/Serpine1/Traf3ip2/Wnk4/Serpinb1a/Ppara/Ttbk1/Abcd1	11
GO:0010466	negative regulation of peptidase activity	6/100	141/11520	0.00140347423529696	0.110369729347448	0.0983672995834579	Serpinb8/Serpine1/Serpina6/Serpina9/Serpina3k/Serpinb1a	6
GO:0019373	epoxygenase P450 pathway	3/100	26/11520	0.00142739697571308	0.110369729347448	0.0983672995834579	Cyp2a5/Cyp2a22/Cyp2c38	3
GO:0002532	production of molecular mediator involved in inflammatory response	4/100	57/11520	0.00148425068344045	0.110369729347448	0.0983672995834579	Serpine1/Traf3ip2/Ppara/Abcd1	4
GO:2001280	positive regulation of unsaturated fatty acid biosynthetic process	2/100	7/11520	0.00152282867879024	0.110369729347448	0.0983672995834579	Avpr1a/Abcd1	2
GO:0006641	triglyceride metabolic process	5/100	97/11520	0.00152847323799354	0.110369729347448	0.0983672995834579	Mogat1/Cd36/Gpat3/Pnpla5/Lpin2	5
GO:0019233	sensory perception of pain	4/100	58/11520	0.00158368784784316	0.110369729347448	0.0983672995834579	Adora1/Fabp5/P2ry1/Acpp	4
GO:0045776	negative regulation of blood pressure	3/100	27/11520	0.00159576261627907	0.110369729347448	0.0983672995834579	Adora1/Cd36/Ppara	3
GO:0019395	fatty acid oxidation	5/100	100/11520	0.00174949862981195	0.110369729347448	0.0983672995834579	Cd36/Acaa1b/Acaa1a/Ppara/Abcd1	5
GO:0032651	regulation of interleukin-1 beta production	4/100	60/11520	0.00179630620095801	0.110369729347448	0.0983672995834579	Cd36/1810058I24Rik/Serpinb1a/Aqp4	4
GO:0003018	vascular process in circulatory system	6/100	148/11520	0.00179728139063084	0.110369729347448	0.0983672995834579	Adora1/Fabp5/P2ry1/Cd36/Slc5a6/Avpr1a	6
GO:0034440	lipid oxidation	5/100	102/11520	0.00190932777449568	0.110369729347448	0.0983672995834579	Cd36/Acaa1b/Acaa1a/Ppara/Abcd1	5
GO:0000038	very long-chain fatty acid metabolic process	3/100	29/11520	0.00196859338635766	0.110369729347448	0.0983672995834579	Acaa1b/Acaa1a/Abcd1	3
GO:0006636	unsaturated fatty acid biosynthetic process	3/100	29/11520	0.00196859338635766	0.110369729347448	0.0983672995834579	Fabp5/Avpr1a/Abcd1	3
GO:0018003	peptidyl-lysine N6-acetylation	2/100	8/11520	0.00201895846367282	0.110369729347448	0.0983672995834579	Nat8f7/Nat8f3	2
GO:0031392	regulation of prostaglandin biosynthetic process	2/100	8/11520	0.00201895846367282	0.110369729347448	0.0983672995834579	Fabp5/Avpr1a	2
GO:0043084	penile erection	2/100	8/11520	0.00201895846367282	0.110369729347448	0.0983672995834579	P2ry1/Avpr1a	2
GO:0010876	lipid localization	9/100	333/11520	0.00238962542339173	0.12311666595257	0.109728038974783	Fabp5/Fabp2/Cd36/Slco1a1/Wnk4/Inhba/Fitm1/Ppara/Abcd1	9
GO:0007586	digestion	4/100	65/11520	0.00241300085708435	0.12311666595257	0.109728038974783	Cyp7b1/Fabp2/Cd36/Wnk4	4
GO:0032611	interleukin-1 beta production	4/100	65/11520	0.00241300085708435	0.12311666595257	0.109728038974783	Cd36/1810058I24Rik/Serpinb1a/Aqp4	4
GO:0018108	peptidyl-tyrosine phosphorylation	7/100	213/11520	0.00250573833761827	0.125069026590686	0.111468085316474	Zap70/Adora1/Cd36/Cadm4/Wee1/Ttbk1/Pkdcc	7
GO:0018212	peptidyl-tyrosine modification	7/100	215/11520	0.00264036835433035	0.12895629108848	0.114932619602056	Zap70/Adora1/Cd36/Cadm4/Wee1/Ttbk1/Pkdcc	7
